comp_name,score,avg_placement,top4_rate,top1_rate,pick_rate,difficulty,popularity,pickcard_level,hero_name,position,main_items,other_recommendation_items,core,trait,positioning,early_game,mid_game
,,,,,,,,,姍娜,backline,,,core,殺戮者 4,此陣先決條件：前期先鋒角色多 or 鬼索開局 or 增幅選擇到五級颶風,,
,,,,,,,,,嘉文四世,frontline,"日炎斗篷, 贖罪神石","均等法衣, 好戰者鎧甲",tank,百獸特攻隊 3,,,
,,,,,,,,,劫,frontline,"無盡之刃, 夜色緣界","正義手套, 嗜血者",secondary,,在六等時，卡著50塊利息抽出三星汎，最晚4-2要抽到三星,,
,,,,,,,,,雷歐娜,frontline,"日炎斗篷, 贖罪神石","均等法衣, 好戰者鎧甲",tank,,,,
,,,,,,,,,雷尼克頓,backline,,,flex,,,,
,,,,,,,,,,,,,,,,,
街頭狂魔 布蘭德,87,3.43,18.17,71.96,1,Normal,Popular,8,枷蘿,frontline,,,core,街頭狂魔 7,前排放置艾克、雷葛爾、妮可、柯布柯和蒙多醫生。後排布蘭德為主C位，希格斯、煞蜜拉為副C,枷蘿、蒙多醫生、艾克、雷格爾,枷蘿、蒙多醫生、艾克、雷格爾、妮可、布蘭德
,,,,,,,,,蒙多醫生,frontline,,,core,戰略軍師 3,多餘魔功裝備給希格斯，多餘坦裝給柯布柯或，多餘物功裝備給煞蜜拉,,
,,,,,,,,,艾克,backline,,,core,技師 2,,,
,,,,,,,,,雷葛爾,frontline,,,core,賽博霸主 2,此陣先決條件：魔功裝多,,
,,,,,,,,,布蘭德,frontline,"適性神盔, 寶石手套, 破防者","精進之矛, 死亡之帽",carry,蠻勇鬥士 2,,,
,,,,,,,,,希格斯,backline,"適性神盔, 寶石手套","精進之矛, 破防者, 史堤克彈簧刀",secondary,,,,
,,,,,,,,,妮可,frontline,"日炎斗篷, 離子星火","石像鬼磐核, 好戰者鎧甲, 贖罪神石",tank,,,,
,,,,,,,,,柯布柯,frontline,,,tank,,,,
,,,,,,,,,煞蜜拉,backline,"無盡之刃, 最後耳語",正義手套,secondary,,,,
,,,,,,,,,,,,,,,,,
百獸特攻隊 剎雅,84,3.51,16.14,70.28,0.77,Normal,Popular,8,賽勒斯,frontline,,,core,主宰 1,前排放置雷尼克頓、伊羅旖、雷歐娜和賽勒斯，雷尼克頓入場後放第二排吃伊羅旖。後排剎雅為主C位，歐羅拉為副C,瑟菈芬、賽勒斯、伊羅旖、汎、悠咪,瑟菈芬、賽勒斯、伊羅旖、汎、悠咪、剎雅、雷歐娜
,,,,,,,,,汎,backline,,,core,神諭集團 1,多餘魔功裝備給歐羅拉，多餘坦裝給伊羅旖或雷尼克頓，多餘物功裝備給雷尼克頓,,
,,,,,,,,,伊羅旖,frontline,,,core,先鋒戰士 2,百獸推薦選擇：UwU炮、百獸地雷、機關槍、滅絕者,,
,,,,,,,,,燼,backline,,,core,堡壘衛士 2,,,
,,,,,,,,,悠咪,backline,,,core,百獸特攻隊 7,此陣先決條件：前期3百獸順順玩,,
,,,,,,,,,剎雅,backline,"精進之矛, 無盡之刃","最後耳語, 巨人殺手, 破防者",carry,射手 2,,,
,,,,,,,,,雷歐娜,frontline,"日炎斗篷, 好戰者鎧甲, 均等法衣","保衛者之誓, 贖罪神石, 龍之爪",tank,發電機 2,,,
,,,,,,,,,雷尼克頓,frontline,"嗜血者, 泰坦的決意",,secondary, ,,,
,,,,,,,,,歐羅拉,backline,"精進之矛, 寶石手套","史堤克彈簧刀, 黑魔禁書",secondary,,,,
,,,,,,,,,,,,,,,,,
殺戮者 薩科,57,4.05,10.44,59.51,1.31,Easy,Popular,5,薩科(3★),frontline,"無盡之刃, 夜色緣界、嗜血者",正義手套,carry,殺戮者 6,前排放置布朗姆、薩科、嘉文四世、劫、達瑞斯、蒙多醫生。前排薩科為主C位，劫、姍娜/汎為副C,薩科、蒙多醫生、達瑞斯、布朗姆,薩科、蒙多醫生、達瑞斯、布朗姆、姍娜、嘉文四世、劫
,,,,,,,,,蒙多醫生,frontline,,,core,神諭集團 1,多餘物功裝備給雷尼克頓/姍娜/汎，多餘坦裝給布朗姆,,
,,,,,,,,,汎,backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","鬼索的狂暴之刃, 瑞蘭颶風箭, 無盡之刃",secondary,先鋒戰士 2,優先製作好薩科和劫的裝備，多餘再給姍娜或是（三星）汎,,
,,,,,,,,,達瑞斯,frontline,,,core,罪惡集團 3,,,
,,,,,,,,,布朗姆,frontline,"適性神盔, 石像鬼磐核",,core,蠻勇鬥士 2,此陣先決條件：2-2前就有2星薩科並且有物功裝備,,
,,,,,,,,,姍娜,backline,"最後耳語, 紅Buff","鬼索的狂暴之刃, 瑞蘭颶風箭, 無盡之刃",secondary,,,,
,,,,,,,,,嘉文四世,frontline,"適性神盔, 日炎斗篷","石像鬼磐核, 好戰者鎧甲, 贖罪神石",core,,在五等時，卡著50塊利息抽出三星薩科，最晚3-7要抽到三星,,
,,,,,,,,,劫,frontline,"無盡之刃, 夜色緣界、嗜血者",正義手套,secondary,,,,
,,,,,,,,,雷尼克頓,frontline,,,core,,,,
,,,,,,,,,,,,,,,,,
極限科技 婕莉,81,3.33,16.25,75.34,0.37,Normal,Popular,8,賈克斯,frontline,,,core,殺戮者 6,前排放置賈克斯、柯布柯、魔鬥凱薩、娜菲芮、史瓦妮。後排婕莉為主C位，燼為副C,賈克斯、娜菲芮、燼、魔鬥凱薩,賈克斯、娜菲芮、燼、魔鬥凱薩、法洛士、婕莉
,,,,,,,,,鏡爪,backline,,,core,神諭集團 1,多餘物功裝備給燼，多餘坦裝給魔鬥凱薩、加里歐、柯布柯，多魔功裝就給柯布柯,,
,,,,,,,,,燼,backline,"最後耳語, 無盡之刃",精進之矛、超頻利牙,secondary,先鋒戰士 2,,,
,,,,,,,,,娜菲芮,frontline,,,core,罪惡集團 3,此陣先決條件：有脈衝穩定器、或是湧動電容器就可以玩,,
,,,,,,,,,法洛士,backline,,,core,蠻勇鬥士 2,,,
,,,,,,,,,魔鬥凱薩,frontline,"日炎斗篷, 均等法衣",賽博繩索,tank,,,,
,,,,,,,,,史瓦妮,frontline,"保衛者之誓, 贖罪神石","龍之爪, 懸浮燈籠, 破損機身",tank,,,,
,,,,,,,,,婕莉,backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","脈衝穩定器, 湧動電容器, 海克斯科技槍刃",carry,,,,
,,,,,,,,,柯布柯,frontline,,,core,,,,
,,,,,,,,,,,,,,,,,
罪惡集團 逆命,63,3.9,9.24,64.4,0.53,Easy,Popular,6,薩科,frontline,,,core,罪惡集團 5,前排放置布朗姆、勒哈斯特（寇格魔 後排）、古拉格斯（史加納）、達瑞斯、薩科。後排逆命為主C位，好運姐為副C,薩科、達瑞斯、逆命、勒哈斯特,薩科、達瑞斯、逆命、勒哈斯特、古拉格斯、布朗姆
,,,,,,,,,達瑞斯(3★),frontline,,,core,先鋒戰士 2,多餘物功裝備給好運姐，多餘坦裝給布朗姆,,
,,,,,,,,,逆命(3★),backline,"鬼索的狂暴之刃, 鬼索的狂暴之刃","海克斯科技槍刃, 寶石手套, 死亡之帽",carry,神諭集團 2,優先製作好逆命裝備再來坦裝、再來好運姐,,
,,,,,,,,,勒哈斯特,frontline,,,core,速射 2,勒哈斯特、古拉格斯可替換成寇格魔以及史加納,,
,,,,,,,,,達瑞斯,frontline,"日炎斗篷, 好戰者鎧甲, 石像鬼鎧甲","保衛者之誓, 龍之爪",tank,蠻勇鬥士 2,,,
,,,,,,,,,古拉格斯,frontline,,,core,,此陣先決條件：前期逆命、達瑞斯多 or 裝備適合（反曲弓、巨型魔棒）,,
,,,,,,,,,布朗姆,frontline,,,core,,,,
,,,,,,,,,好運姐,backline,"精進之矛, 無盡之刃","最後耳語, 巨人殺手, 破防者",secondary,,在六等時，卡著50塊利息抽出三星逆命，最晚4-3要抽到三星,,
,,,,,,,,,婕莉,backline,,,core,,,,
